"name","lat","lon","identifiedBy","ident_extract"
"aegopogon",-19.682778,-46.445,"ANA LUIZA FREITAS",1084
"aegopogon",-11.22333,-47.566111,"Meyer, F.S.",563
"aegopogon",-11.69421,-47.70079,"Meyer, F. S.",530
"aegopogon",-11,-47,"F.S. Meyer",470
"aegopogon",-15.930833,-47.901944,"Meyer, FS",1092
"aegopogon",-13.9295,-47.4305,"Meyer, FS",1478
"aegopogon",-16.799314,-47.567975,"Meyer, FS",1090
"aegopogon",-14.219444,-47.737222,"Ana Luiza Freitas Oliveira",1150
"aegopogon",-13.929444,-47.430278,"Ana Luiza Freitas Oliveira",1478
"aegopogon",-16.475753,-47.340471,"Meyer, F.S.",920
"aegopogon",-18.611389,-48.304722,"Freitas, A.L.",716
"aegopogon",-14.235278,-47.905833,"Freitas-Oliveira, AL",654
"aegopogon",-15.824722,-48.906667,"Freitas, A.L.",1124
"aegopogon",-14.072694,-47.509333,"Guimarães, PJF",1430
"aegopogon",-18.066944,-47.272222,"Freitas, A.L.",783
"aegopogon",-20.434444,-46.653333,"Freitas-Oliveira, AL",845
"aegopogon",-17.422833,-47.795583,"Freitas-Oliveira, AL",953
"aegopogon",-20.434444,-46.653333,"Romero, R.",845
"aegopogon",-20.335,-46.812778,"Romero, R.",717
"aegopogon",-20.3425,-46.767222,"Romero, R.",945
"aegopogon",-16.745944,-47.694667,"Guimarães, PJF",1075
"aegopogon",-14.56667,-48.69917,"A. L. Freitas",599
"aegopogon",-15.066667,-50.166667,"Guimarães, PJF",359
"aegopogon",-15.066667,-50.166667,"J.G.Freitas & P.Guimarães",359
"aegopogon",-15.9,-48,"P. J. F. Guimarães",1160
"aegopogon",-14.404444,-48.416389,"Guimarães, PJF",746
"aegopogon",-15.583333,-47.883333,"Guimarães, PJF",973
"aegopogon",-15.8,-47.96667,"P. J. F. Guimarães",1100
"aegopogon",-20.267222,-46.415556,"Romero, R",984
"aegopogon",-15.483935,-47.639318,"J. J. Wurdack",960
"aegopogon",-10.124444,-48.270556,"Guimarães, P",486
"aegopogon",-19.8694005837072,-47.4401506543322,"R. Romero",896
"aegopogon",-14.82333,-60.38611,"J.J. Wurdack",823
"aegopogon",-13.466667,-48.383333,"Ana Luiza Freitas Oliveira",453
"aegopogon",-15.911111,-47.914167,"Freitas, AL",1079
"aegopogon",-15.965,-47.898611,"Freitas, AL",1155
"aegopogon",-15.951944,-47.893611,"Freitas, AL",1092
"aegopogon",-15.75,-48.3,"P. J. F. Guimarães",1064
"aegopogon",-13.733333,-47.25,"Meyer, FS",683
"aegopogon",-13.733333,-47.25,"Freitas, A.L.",683
"aegopogon",-16.766667,-47.616667,"Wurdack, J.J.",1202
"aegopogon",-16.766667,-47.616667,"Wurdack, JJ",1202
"aegopogon",-15.8525,-48.9592,"Guimarães, PJF",782
"aegopogon",-16.7686,-47.6136,"Guimarães, PJF",1202
"aegopogon",-15.566667,-48.033333,"Guimarães, PJF",1225
"aegopogon",-15.9236,-48.8086,"Wurdack, JJ",1008
"aegopogon",-14.116667,-47.516667,"Wurdack, JJ",1319
"aegopogon",-14,-47,"Freitas, GA",454
"aegopogon",-14.116667,-47.516667,"Wurdack, JJ",1319
"aegopogon",-14,-47,"J. J. Wurdack",454
