"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"duidae","Tibouchina duidae Gleason",7,3,1991,4.41,-65.53,"3281331","US","gbif"
"duidae","Tibouchina duidae Gleason",20,11,1989,4.8,-64.53,"3230792","US","gbif"
"duidae","Tibouchina duidae Gleason",1,3,1985,3.83,-65.71,"3020052","US","gbif"
"duidae","Tibouchina duidae Gleason",14,2,1981,4.58333,-64.25,"2959440","MO","gbif"
"duidae","Tibouchina duidae Gleason",14,2,1981,4.58,-64.25,"2913593","US","gbif"
"duidae","Tibouchina duidae Gleason",3,10,1979,4.51666,-65.58333,"2960566","MO","gbif"
"duidae","Tibouchina duidae Gleason",29,1,1975,3.23,-65.56,"2771523","US","gbif"
"duidae","Tibouchina duidae Gleason",24,2,1974,4.81,-64.56,"2695221","US","gbif"
"duidae","Tibouchina duidae Gleason",22,2,1974,4.81,-64.56,"2695220","US","gbif"
"duidae","Tibouchina duidae Gleason",22,3,1967,4.75,-64.43,"2521416","US","gbif"
"duidae","Tibouchina duidae Gleason",2,2,1951,4.41,-65.83,"2121118","US","gbif"
