"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"fraterna","Tibouchina fraterna N.E.Br.",2,2,1994,2.58333,-59.3667,"3378807","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",30,5,1990,5.9,-61.0333,"3272764","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",27,2,1987,5.46667,-60.0667,"3103396","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",1,3,1987,5.46667,-60.0667,"3142967","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",26,5,1986,5.85,-62.03333,"2959517","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",26,5,1986,5.85,-62.03,"3074408","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",17,2,1985,3.63333,-65.46666,"327568","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",1,3,1985,3.25,-65.71666,"327670","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",11,3,1985,3.58,-65.38,"3020031","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",3,4,1985,5.66666,-61.5,"319523","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",18,2,1984,5.833333,-62.683333,"100657218","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",27,8,1983,5.933333,-62.566667,"100657219","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",13,10,1983,3.6,-65.38333,"2960401","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",13,10,1983,3.6,-65.38,"2980748","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",10,2,1982,3.83,-65.33,"2939288","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",24,7,1982,5.08333,-61.11666,"1489104","MO","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",24,7,1982,5.08,-61.11,"2957863","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",17,10,1981,5.91,-61,"2956025","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",10,11,1979,5.95,-60.63,"2857738","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",29,1,1975,3.16,-65.51,"2771521","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",2,1,1964,5.93,-61.4,"2426672","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",18,5,1964,5.91,-62.55,"2458121","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",24,4,1960,5.05,-61.36,"2338531","US","gbif"
"fraterna","Tibouchina fraterna N.E.Br.",NA,1,1949,5.91,-62.53,"1997662","US","gbif"
